"Category","Price Close"
"May 19 2019",987.1
"May 20 2019",986.3
"May 21 2019",983.8
"May 22 2019",982.7
"May 23 2019",970
"May 26 2019",975.1
"May 27 2019",972
"May 28 2019",971.5
"May 29 2019",969.3
"May 30 2019",959.9
"Jun 02 2019",946.5
"Jun 03 2019",951.2
"Jun 04 2019",951.4
"Jun 05 2019",948.2
"Jun 06 2019",958.3
"Jun 09 2019",962.9
"Jun 10 2019",962.1
"Jun 11 2019",954.2
"Jun 12 2019",950.1
"Jun 13 2019",953.6
"Jun 16 2019",947
"Jun 17 2019",944
"Jun 18 2019",949.7
"Jun 19 2019",959.2
"Jun 20 2019",959.2
"Jun 23 2019",962.9
"Jun 24 2019",960.1
"Jun 25 2019",959.1
"Jun 26 2019",943.1
"Jun 27 2019",949.9
"Jun 30 2019",965.6
"Jul 01 2019",962
"Jul 02 2019",960.4
"Jul 03 2019",973
"Jul 04 2019",975.3
"Jul 07 2019",966.4
"Jul 08 2019",969.1
"Jul 09 2019",973.7
"Jul 10 2019",978.6
"Jul 11 2019",975.4
"Jul 14 2019",972.5
"Jul 15 2019",982.1
"Jul 16 2019",982.6
"Jul 17 2019",976.1
"Jul 18 2019",982.3
"Jul 21 2019",982
"Jul 22 2019",989.5
"Jul 23 2019",988.4
"Jul 24 2019",995
"Jul 25 2019",993.4
"Jul 28 2019",997.9
"Jul 29 2019",986
"Jul 30 2019",991.7
"Jul 31 2019",997.4
"Aug 01 2019",991.1
"Aug 04 2019",973.2
"Aug 05 2019",964.6
"Aug 06 2019",965.9
"Aug 07 2019",975.2
"Aug 08 2019",974.3
"Aug 11 2019",975.3
"Aug 12 2019",966.8
"Aug 13 2019",968.9
"Aug 14 2019",979.4
"Aug 15 2019",980
"Aug 18 2019",981
"Aug 19 2019",984.7
"Aug 20 2019",994.4
"Aug 21 2019",997.3
"Aug 22 2019",992.5
"Aug 25 2019",982.9
"Aug 26 2019",976.8
"Aug 27 2019",977.3
"Aug 28 2019",978.6
"Aug 29 2019",984.1
"Sep 02 2019",979.4
"Sep 03 2019",977.6
"Sep 04 2019",976.8
"Sep 05 2019",974.1
"Sep 08 2019",974.1
"Sep 09 2019",970.3
"Sep 10 2019",969.3
"Sep 11 2019",976.1
"Sep 12 2019",987.2
"Sep 15 2019",989.9
"Sep 16 2019",996.7
"Sep 17 2019",995.2
"Sep 18 2019",997.1
"Sep 19 2019",990.4
"Sep 22 2019",985.8
"Sep 23 2019",988.1
"Sep 24 2019",987.3
"Sep 25 2019",990.8
"Sep 26 2019",997.8
"Sep 29 2019",996.6
"Sep 30 2019",999.6
"Oct 01 2019",991.2
"Oct 02 2019",992.5
"Oct 03 2019",987.6
"Oct 06 2019",983.1
"Oct 07 2019",988.2
"Oct 08 2019",987.8
"Oct 09 2019",987.4
"Oct 10 2019",991.8
"Oct 13 2019",993.6
"Oct 14 2019",993.1
"Oct 15 2019",994.5
"Oct 16 2019",989.8
"Oct 17 2019",989.2
"Oct 20 2019",983.6
"Oct 21 2019",987.2
"Oct 22 2019",987.8
"Oct 23 2019",993.6
"Oct 24 2019",996.6
"Oct 27 2019",996.5
"Oct 28 2019",995.9
"Oct 29 2019",1000.9
"Oct 30 2019",998.8
"Oct 31 2019",1015.6
"Nov 03 2019",1022.4
"Nov 04 2019",1024.3
"Nov 05 2019",1024.9
"Nov 06 2019",1024
"Nov 07 2019",1022.5
"Nov 10 2019",1016.8
"Nov 11 2019",1018.3
"Nov 12 2019",1012.8
"Nov 13 2019",1012.3
"Nov 14 2019",1010
"Nov 17 2019",1002.9
"Nov 18 2019",1008.4
"Nov 19 2019",1000.6
"Nov 20 2019",987.9
"Nov 21 2019",977.8
"Nov 24 2019",976.4
"Nov 25 2019",976.8
"Nov 26 2019",978.2
"Nov 27 2019",970.4
"Nov 28 2019",970.8
"Dec 01 2019",959.3
"Dec 02 2019",953.4
"Dec 03 2019",965.9
"Dec 04 2019",963.3
"Dec 05 2019",963.6
"Dec 08 2019",966.1
"Dec 09 2019",960.3
"Dec 10 2019",961.8
"Dec 11 2019",968.2
"Dec 12 2019",966.2
"Dec 15 2019",961.5
"Dec 16 2019",954
"Dec 17 2019",951.1
"Dec 18 2019",952.3
"Dec 19 2019",956.4
"Dec 22 2019",959.4
"Dec 23 2019",958.9
"Dec 24 2019",960.9
"Dec 25 2019",958.6
"Dec 26 2019",963.5
"Dec 29 2019",965
"Dec 30 2019",961
"Jan 01 2020",966.7
"Jan 02 2020",965.1
"Jan 05 2020",955.8
"Jan 06 2020",958.9
"Jan 07 2020",949
